annotator	session_id	id	knowledge	power	status	trust	support	similarity	identity	fun	conflict	other	other_text	none	romance
5f649a5cd14d460266092062	68b6fda37116ad723ad7aec7	1.80035E+16	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5f649a5cd14d460266092062	68b6fda37116ad723ad7aec7	id_1846	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5f649a5cd14d460266092062	68b6fda37116ad723ad7aec7	hlwbnv0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_1269	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5f649a5cd14d460266092062	68b6fda37116ad723ad7aec7	1.78687E+16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	TRUE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	1.79612E+16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5f649a5cd14d460266092062	68b6fda37116ad723ad7aec7	1.79151E+16	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE		FALSE	TRUE
609ac2fa3340da7e2c5557ee	68b6fdff762b9db6c0737979	id_1529	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	hoara3t	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
609ac2fa3340da7e2c5557ee	68b6fdff762b9db6c0737979	j4buuot	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_1966	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	TRUE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_936	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	1.79083E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	1.78789E+16	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	1.79675E+16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	g5x4pal	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	1.80119E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_1747	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	1.79389E+16	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	1.79526E+16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	dxftlby	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_1256	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_2036	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_1599	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
609ac2fa3340da7e2c5557ee	68b6fdff762b9db6c0737979	hk8v2ue	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	h917ifw	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_343	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	g8c7rs8	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_676	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	1.79037E+16	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	cyh84b9	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_252	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE
609ac2fa3340da7e2c5557ee	68b6fdff762b9db6c0737979	1.79545E+16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	1.78445E+16	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	1.80517E+16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
609ac2fa3340da7e2c5557ee	68b6fdff762b9db6c0737979	id_1529	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	id_1620	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	1.79862E+16	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
609ac2fa3340da7e2c5557ee	68b6fdff762b9db6c0737979	j4buuot	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	dt6rkas	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	id_1846	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5b5f23420085cb0001872849	68b6fdafd16b816ce170e76c	cwqthzw	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	g3hjo11	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	id_1060	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	id_2054	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	1.79792E+16	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	fwvjjzb	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	id_2043	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	johhrzi	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	id_1102	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	1.7967E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	hs8anzw	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	hoara3t	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	j1iscwt	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	id_3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	1.78649E+16	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	id_2038	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	id_1434	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	id_1030	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	jc994kt	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE	FALSE
5bf2f728bd9f150001f6cc42	68b6fdab7e7070821bb278a2	1.78495E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	1.79612E+16	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	TRUE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	g5x4pal	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	cyh84b9	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	1.78838E+16	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	1.79428E+16	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	id_1325	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	id_1324	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	id_343	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	gf8jh9a	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	jcrh5of	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	id_1174	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	1.79079E+16	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.79151E+16	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	hyvl8k1	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	id_547	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.79525E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	1.80066E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	dxftlby	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.7966E+16	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	id_2198	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	id_1124	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	1.79791E+16	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	h917ifw	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	1.79588E+16	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	1.79536E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	i4v1tsz	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	cwqthzw	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE		FALSE	TRUE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	j1iscwt	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.79039E+16	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	1.79566E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	id_676	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	dxftlby	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	id_1174	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	id_1124	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	1.79588E+16	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	id_2202	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	id_1909	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	1.79205E+16	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	id_1529	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	id_1269	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	id_1941	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	id_2145	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	1.8008E+16	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	id_1619	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	id_1370	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.79112E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
681d11acf32ffbb177100579	68b702f371b75ec8429f50bc	ju9v6bs	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	cwqthzw	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.79523E+16	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.79406E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	id_448	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.78649E+16	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	hq4qcur	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		FALSE	TRUE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.78687E+16	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	1.7967E+16	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.78689E+16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	cyh84b9	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	igsyw0s	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	1.80289E+16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE
5987030cfd8cca00015cbc26	68b704584b7713bac35d9a9a	id_2073	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE		FALSE	FALSE
5755c957eb80c4000741a9ce	68b70323ae4179c08d9720ae	kdnvtbz	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE	FALSE
